Operation,operation: instance,CreativeStrategy (Class),Transformative_Work,Transformative_Work_URI,Original_Work,Original_Work_URI,SourceElement,TargetElement,NarrativeElement (Class),Rationale_Annotation
1,Op_Water_Margin_to_Jin_Ping_Mei_PlotGrafting,Imitation,Jin Ping Mei,https://www.wikidata.org/wiki/Q753535,Water Margin,https://www.wikidata.org/wiki/Q70827,Wu_Song_Kills_Sister_in_law_Episode,Seed_Plot_of_Jin_Ping_Mei,EventSequence,"A single marginal episode of the source -- Wu Song's killing of his adulterous sister-in-law, in places quoted almost verbatim -- is extracted and reused as the seed plot from which the entire new novel is grown."
1,Op_Water_Margin_to_Jin_Ping_Mei_ContentDomainShift,Transformation,Jin Ping Mei,https://www.wikidata.org/wiki/Q753535,Water Margin,https://www.wikidata.org/wiki/Q70827,Chivalric_Heroism,Domestic_Desire_and_Manners,ContentDomain,"The content domain is transformed from chivalric heroism and outlaw violence into the everyday domestic world of desire, money, and social maneuvering -- the founding move of the Chinese novel of manners."
1,Op_Water_Margin_to_Jin_Ping_Mei_FocalizationShift,Transformation,Jin Ping Mei,https://www.wikidata.org/wiki/Q753535,Water Margin,https://www.wikidata.org/wiki/Q70827,Outlaw_Hero_Ensemble_Focal,Merchant_Household_Focal,Focalization,The narrative focus shifts from a rotating ensemble of outlaw heroes to the enclosed interior of a single merchant household.
1,Op_Water_Margin_to_Jin_Ping_Mei_PanJinLianReinterpretation,Transformation,Jin Ping Mei,https://www.wikidata.org/wiki/Q753535,Water Margin,https://www.wikidata.org/wiki/Q70827,Monotonic_Villain_Pan_Jin_Lian,Complex_Pan_Jin_Lian,CharacterFunction,"The flat villainess of the source is given psychological depth and her moral condemnation is suspended, transforming her narrative function from object of judgment to ambiguous subject."
1,Op_Water_Margin_to_Jin_Ping_Mei_CharacterInheritance,Inheritance,Jin Ping Mei,https://www.wikidata.org/wiki/Q753535,Water Margin,https://www.wikidata.org/wiki/Q70827,Core_Cast_Ximen_Pan_Wu,Core_Cast_Ximen_Pan_Wu,CharacterIdentity,"The core cast (Xi Men Qing, Pan Jin Lian, Wu Song) is inherited directly from the source; note that Wu Song, a protagonist there, is radically marginalized here."
2,Op_The_Twilight_Saga_to_Fifty_Shades_of_Grey_HeroArchetypeImitation,Imitation,Fifty Shades of Grey,https://www.wikidata.org/wiki/Q557867,The Twilight Saga,https://www.wikidata.org/wiki/Q652599,PowerfulDangerousHero_Vampire,PowerfulDangerousHero_Tycoon,CharacterFunction,"The dangerous-male-lead archetype is reused, but the source of danger is relocated from the supernatural (vampirism) to the psychological (childhood trauma); the 'darkness' is retained while its explanatory frame becomes realist."
2,Op_The_Twilight_Saga_to_Fifty_Shades_of_Grey_ContentDomainShift,Transformation,Fifty Shades of Grey,https://www.wikidata.org/wiki/Q557867,The Twilight Saga,https://www.wikidata.org/wiki/Q652599,Abstinent_Supernatural_Romance,Explicit_Eroticism,ContentDomain,The content domain is inverted: the source's abstinence theme becomes explicit eroticism as the central narrative material.
2,Op_The_Twilight_Saga_to_Fifty_Shades_of_Grey_PowerStructureInheritance,Inheritance,Fifty Shades of Grey,https://www.wikidata.org/wiki/Q557867,The Twilight Saga,https://www.wikidata.org/wiki/Q652599,Dominant_Male_Submissive_Female,Dominant_Male_Submissive_Female,RelationType,"The asymmetric dominant-male / submissive-female relational dynamic, together with the heroine's redeem-him-through-love arc, is inherited from the source."
3,Op_Canon_of_Sherlock_Holmes_to_Sherlock_SettingTransposition,Transformation,Sherlock,https://www.wikidata.org/wiki/Q192837,Canon of Sherlock Holmes,https://www.wikidata.org/wiki/Q2316684,Victorian_London,Contemporary_London,Chronotope,The historical era is replaced (Victorian becomes contemporary London) while the geographical setting is preserved.
3,Op_Canon_of_Sherlock_Holmes_to_Sherlock_CrossMediaTransformation,Transformation,Sherlock,https://www.wikidata.org/wiki/Q192837,Canon of Sherlock Holmes,https://www.wikidata.org/wiki/Q2316684,ShortStoryCollection,TV_Series,MediumType,"The short-story collection is recast as serialized television, expanding episodic cases into season-long arcs."
3,Op_Canon_of_Sherlock_Holmes_to_Sherlock_CharacterIntensification,Imitation,Sherlock,https://www.wikidata.org/wiki/Q192837,Canon of Sherlock Holmes,https://www.wikidata.org/wiki/Q2316684,Eccentric_Rationalist_Holmes,High_Functioning_Sociopath_Holmes,CharacterArc,"Holmes's baseline characterization is reused but intensified, reframing eccentric rationalism through a modern clinical idiom."
3,Op_Canon_of_Sherlock_Holmes_to_Sherlock_RelationshipInheritance,Inheritance,Sherlock,https://www.wikidata.org/wiki/Q192837,Canon of Sherlock Holmes,https://www.wikidata.org/wiki/Q2316684,Holmes_Watson_Bromance,Holmes_Watson_Bromance,RelationType,The Holmes-Watson friendship and cohabitation is inherited intact -- the point of contrast with Elementary's reconfiguration.
